word,n
equipment,230
margaret,230
andré,229
official,229
wherein,229
appropriate,228
materials,228
medical,228
agricultural,227
site,227
arthur,226
increasing,226
exercise,225
infrastructure,224
roy,224
conservation,223
branch,222
extend,222
heads,222
advisor,221
broadcasting,221
nature,221
patricia,221
establishment,220
senior,220
atomic,219
compensation,219
etc,219
occupational,218
seal,218
cooperative,217
limit,217
operations,217
assist,216
canadas,215
parks,215
patrick,215
english,214
request,214
extending,213
louise,213
nuclear,213
point,213
replacing,213
add,212
annual,212
association,212
loans,212
ville,212
martin,211
standing,211
road,210
trust,210
allowing,209
definition,209
done,208
lakes,208
actions,207
interim,207
licences,207
registered,207
thunder,207
audit,206
charges,206
revocation,206
seven,205
corporations,204
rightofway,204
functions,203
lawrence,203
bruce,202
exportation,202
final,202
right,202
albert,201
alexander,201
securities,201
ann,200
claude,200
allan,199
breton,199
communications,199
fredericton,199
words,199
historic,198
mortgage,198
approximately,197
charlottetown,197
correcting,197
ian,197
surrenders,197
matters,196
prohibition,196
administer,195
age,194
western,194
commons,193
several,193
retired,192
travel,192
mrs,191
red,191
rural,191
associated,190
collective,190
eligible,189
little,189
municipality,188
accordance,187
code,187
laws,187
consistent,186
entire,186
regulatory,186
acting,184
nanaimo,184
references,184
costs,183
reserves,183
sales,183
scrutiny,183
minor,182
notice,182
ross,182
roger,181
square,181
sydney,181
whitehorse,181
alan,180
mark,180
programs,180
areas,179
gst,179
richmond,179
concurrent,178
engineering,177
frank,177
import,177
incorporated,177
parcels,177
permit,177
accreditation,176
comes,176
salmon,176
daniel,175
louis,175
reflect,175
systems,175
gerald,174
mint,174
origin,174
copy,173
countries,173
keith,173
military,173
privacy,173
species,173
vacant,173
1988,172
held,172
legislature,172
reduction,172
andrew,171
community,171
cost,171
require,171
ships,171
status,171
applicable,170
aside,170
kingston,170
acquisition,169
correct,169
cowessess,169
east,169
produced,169
resolution,169
barbara,168
fee,168
film,168
giving,168
kamloops,168
parliamentary,168
claim,167
connection,167
consumer,167
either,167
excise,167
guy,167
humanities,166
kelowna,166
sector,166
granted,165
implement,165
institute,165
paragraph,165
stephen,165
yellowknife,165
democratic,164
peoples,164
rupert,164
majesty,163
petroleum,163
regarding,163
scott,163
sergent,163
signed,163
assignment,162
bernard,162
extent,162
moncton,162
professional,162
catharines,161
debt,161
lieutenant,161
tourism,161
union,161
wildlife,161
creek,160
holding,160
ports,160
american,159
assembly,159
campbell,159
legislative,159
sergeantle,159
supply,159
macdonald,158
updating,158
article,157
funds,157
gary,157
legal,157
lower,157
metres,157
outside,157
real,157
representing,157
update,157
1989,156
apply,156
specified,156
consent,155
domestic,155
must,155
removing,155
waters,155
criminal,154
economy,154
facilities,154
styled,154
deposit,153
external,153
financing,153
small,153
way,153
assessment,152
can,152
civil,152
conference,152
course,152
delegate,152
entities,152
estimates,152
gilles,152
higher,152
inquiry,152
prescribe,152
quad,152
1985,151
appeals,151
bylaw,151
production,151
requirement,151
convenience,150
deemed,150
items,150
offshore,150
policy,150
whereby,150
county,149
medal,149
resigned,149
assets,148
carry,148
errors,148
oceans,148
scarborough,148
ste,148
vicechairman,148
amended,147
anthony,147
duty,147
governors,147
kitchener,147
sell,147
space,147
transferring,147
without,147
avoidance,146
coming,146
declaring,146
double,146
ochapowace,146
item,145
restrictions,145
concern,144
etobicoke,144
market,144
operating,144
opportunities,144
revoking,144
accepting,143
namely,143
prohibiting,143
reimbursed,143
village,143
competition,142
duly,142
laurentian,142
meet,142
necessity,142
framework,141
parts,141
residential,141
result,141
subsidiary,141
gallery,140
governing,140
prior,140
registration,140
sudbury,140
susan,140
tobacco,140
address,139
falls,139
fix,139
manner,139
cultural,138
denis,138
affected,137
françois,137
round,137
transactions,137
welfare,137
alternate,136
crtc,136
designed,136
money,136
remove,136
suzanne,136
ten,136
aforementioned,135
investments,135
oath,135
organizations,135
receive,135
resulting,135
constituting,134
oshawa,134
per,134
plans,134
product,134
appointments,133
arts,133
murray,133
table,133
title,133
white,133
amounts,132
coin,132
heather,132
kilometres,132
relocation,132
remits,132
sault,132
submission,132
troisrivières,132
country,131
cree,131
grievance,131
hec,131
norman,131
chartered,130
description,130
maintenance,130
mining,130
termination,130
visa,130
midnight,129
pollution,129
removal,129
second,129
share,129
standard,129
total,129
cabinet,128
class,128
lifelong,128
mail,128
prepared,128
radio,128
vehicles,128
version,128
borrowing,127
brampton,127
earlier,127
evasion,127
laval,127
parliament,127
positions,127
100,126
adds,126
dairy,126
documents,126
empowering,126
gloucester,126
processing,126
sites,126
stewart,126
another,125
china,125
life,125
release,125
residues,125
workers,125
1987,124
accept,124
clarify,124
oaths,124
person,124
street,124
zoning,124
civilization,123
covering,123
dennis,123
work,123
aircraft,122
hull,122
prohibited,122
vessels,122
wayne,122
williams,122
freshwater,121
mineral,121
thereto,121
warrant,121
world,121
devices,120
enforcement,120
expenditure,120
lee,120
linda,120
pine,120
risk,120
continue,119
european,119
interests,119
mackenzie,119
superannuation,119
line,118
outremont,118
proposed,118
purchase,118
reduce,118
districts,117
mutual,117
surface,117
third,117
exclusion,116
henry,116
privileges,116
responsibilities,116
supervision,116
westmount,116
assigning,115
declaration,115
frederick,115
hill,115
iii,115
importation,115
longueuil,115
procedure,115
septîles,115
valley,115
barrie,114
calendar,114
carried,114
egg,114
include,114
jane,114
student,114
appropriation,113
central,113
extension,113
firm,113
grade,113
institution,113
migratory,113
personal,113
relation,113
versions,113
wilson,113
child,112
hugh,112
nepean,112
reporting,112
care,111
christopher,111
complaints,111
growth,111
last,111
milk,111
pay,111
process,111
treatment,111
whichever,111
yves,111
adjust,110
allen,110
animals,110
birds,110
coast,110
maurice,110
representatives,110
wright,110
governments,109
improve,109
marcel,109
penalties,109
reform,109
ruth,109
allowance,108
arrangements,108
francis,108
funding,108
intelligence,108
kevin,108
philip,108
preferential,108
1978,107
grand,107
invest,107
letter,107
nancy,107
walter,107
balance,106
books,106
disclosure,106
price,106
race,106
carrying,105
compliance,105
corner,105
eight,105
lloyd,105
obligations,105
russell,105
unemployment,105
karen,104
minimum,104
relocate,104
secretariat,104
acts,103
alberni,103
associations,103
determine,103
flooding,103
illhealth,103
instruments,103
annex,102
approved,102
bankruptcy,102
prairie,102
together,102
adjustment,101
periods,101
procedures,101
subsections,101
catherine,100
designate,100
détatmajor,100
diane,100
expropriation,100
forth,100
investigation,100
projects,100
collection,99
graham,99
thereby,99
authorize,98
clerk,98
design,98
emergencies,98
exempt,98
immunities,98
introducing,98
minting,98
old,98
specifying,98
coins,97
comprehensive,97
contributions,97
downsview,97
longer,97
makes,97
niagara,97
replace,97
value,97
vessel,97
weapons,97
available,96
joan,96
lines,96
mission,96
monuments,96
passenger,96
plant,96
revised,96
skills,96
specify,96
training,96
vincent,96
watson,96
brook,95
cameron,95
controlled,95
dispute,95
expiry,95
give,95
harry,95
brown,94
changing,94
data,94
greater,94
helen,94
implementing,94
joanne,94
lots,94
next,94
renewable,94
survivor,94
building,93
communities,93
inspect,93
oakville,93
prohibits,93
renew,93
schedules,93
whollyowned,93
conduct,92
preparedness,92
tracts,92
unit,92
young,92
action,91
affidavits,91
also,91
barry,91
bathurst,91
dates,91
leonard,91
meat,91
medicine,91
practices,91
prairies,91
agent,90
alliance,90
carol,90
commissioners,90
councillors,90
defray,90
howard,90
lac,90
names,90
ordinances,90
requiring,90
sergeantsergent,90
shirley,90
surrey,90
charge,89
clarifying,89
died,89
electronic,89
incurred,89
jack,89
maple,89
parties,89
sport,89
unsold,89
20032004,88
aging,88
canadians,88
certificates,88
stabilization,88
stuart,88
transgas,88
authorities,87
brandon,87
clark,87
consistency,87
cornwall,87
dartmouth,87
error,87
sarnia,87
substance,87
approve,86
contraventions,86
enterprise,86
entitled,86
form,86
nwt,86
pilot,86
series,86
border,85
consolidated,85
determining,85
distribution,85
exempting,85
identified,85
individual,85
judith,85
nine,85
separate,85
staking,85
1951,84
businesses,84
deer,84
due,84
grants,84
institutes,84
lynn,84
muskowekwan,84
possession,84
response,84
schools,84
105,83
blue,83
commissions,83
containing,83
ernest,83
household,83
mount,83
older,83
participate,83
private,83
redress,83
residue,83
severe,83
shipping,83
television,83
township,83
variation,83
20062007,82
arrangement,82
forest,82
inconsistencies,82
introduce,82
jeanclaude,82
mainland,82
peterborough,82
piapot,82
rcmp,82
referred,82
revise,82
revokes,82
sandra,82
sharing,82
traffic,82
accountants,81
beach,81
burnaby,81
dangerous,81
dawson,81
derek,81
employee,81
end,81
islands,81
judicial,81
leblanc,81
nafta,81
relevant,81
seaway,81
sherbrooke,81
terrorist,81
arbitration,80
bands,80
courts,80
eric,80
recognition,80
van,80
victor,80
116,79
across,79
borrow,79
commonwealth,79
contains,79
grounds,79
maintain,79
net,79
nominee,79
portions,79
protect,79
receivers,79
regions,79
robinson,79
stanley,79
taxpayers,79
alain,78
back,78
burlington,78
herbert,78
hunting,78
initiative,78
jeanpierre,78
listed,78
manufacturing,78
meeting,78
municipal,78
parc,78
precious,78
prospecting,78
repeals,78
revising,78
sound,78
towards,78
budget,77
damage,77
declares,77
dindustrie,77
green,77
harvey,77
impact,77
patented,77
previous,77
twentyone,77
varieties,77
walker,77
20022003,76
20052006,76
auditors,76
dollar,76
enacted,76
harold,76
janet,76
kilometre,76
operate,76
ralph,76
roland,76
subdivision,76
terminals,76
toxic,76
whole,76
federation,75
georges,75
gregory,75
harmonized,75
llp,75
principal,75
reservation,75
submitted,75
terminology,75
timmins,75
wood,75
wording,75
amends,74
asiapacific,74
brantford,74
cambridge,74
employers,74
excluding,74
expropriate,74
facility,74
johnson,74
level,74
nicole,74
operators,74
proceeding,74
renewal,74
adviser,73
agents,73
began,73
clarke,73
direct,73
don,73
duration,73
eastern,73
follows,73
language,73
main,73
memorandum,73
raise,73
responsible,73
20042005,72
affecting,72
buildings,72
enable,72
erie,72
except,72
extends,72
fruit,72
future,72
less,72
others,72
people,72
premiums,72
reducing,72
relief,72
similar,72
yvon,72
block,71
circumstances,71
corresponding,71
deleting,71
entity,71
glasgow,71
inspectors,71
larry,71
martial,71
monnin,71
raised,71
recovery,71
scientific,71
season,71
selected,71
ukraine,71
vary,71
voluntary,71
african,70
armed,70
category,70
chemicals,70
chile,70
elections,70
electrical,70
guard,70
impose,70
ireland,70
kathleen,70
manufacture,70
maria,70
regulation,70
savings,70
sets,70
statistical,70
timber,70
utility,70
wharf,70
willowdale,70
yarmouth,70
adopted,69
applications,69
belleville,69
days,69
eliminate,69
expire,69
federalprovincial,69
increases,69
internal,69
maritime,69
monday,69
offences,69
otherwise,69
steamship,69
steven,69
tremblay,69
vicepresident,69
accounting,68
bell,68
carrier,68
dated,68
donna,68
local,68
mexico,68
partnership,68
perform,68
pheasant,68
pipelines,68
resident,68
retail,68
salaries,68
sheila,68
storage,68
warren,68
abandonment,67
accident,67
articles,67
beardys,67
copyright,67
enhance,67
foods,67
gilbert,67
india,67
involved,67
lewis,67
monetary,67
okemasis,67
penalty,67
petrocanada,67
prescription,67
records,67
southern,67
surplus,67
taylor,67
thompson,67
transition,67
val,67
week,67
women,67
along,66
appoint,66
bouchard,66
cent,66
common,66
definitions,66
deloitte,66
delta,66
exported,66
indirectly,66
landry,66
nelson,66
normand,66
now,66
owen,66
postage,66
refer,66
regime,66
ridley,66
ron,66
terminate,66
20082009,65
artists,65
buffalo,65
bureau,65
chicoutimi,65
claire,65
contain,65
coordinating,65
covered,65
direction,65
fuel,65
hydro,65
involving,65
issues,65
lorne,65
rush,65
saulteaux,65
serge,65
shore,65
touche,65
understanding,65
chatham,64
concurrently,64
guelph,64
guidelines,64
marking,64
oconnor,64
pelletier,64
registry,64
steel,64
stefoy,64
20012002,63
africa,63
alaska,63
anderson,63
delivery,63
dispose,63
edmundston,63
education,63
exploration,63
glen,63
mrls,63
permits,63
premium,63
restricted,63
waterloo,63
1986,62
19992000,62
20072008,62
beef,62
bennett,62
black,62
carriers,62
every,62
fabrics,62
filing,62
friday,62
gander,62
geneva,62
illness,62
iqaluit,62
jeanguy,62
korea,62
labelling,62
livestock,62
maureen,62
seniors,62
sidney,62
strip,62
tenure,62
bedford,61
bodies,61
bonds,61
concerns,61
côté,61
developed,61
eligibility,61
ensuring,61
help,61
installation,61
liability,61
long,61
municipalities,61
originating,61
pertaining,61
proceedings,61
procurement,61
refund,61
rose,61
school,61
statistics,61
thereon,61
vegetable,61
wells,61
20002001,60
2016,60
alfred,60
bargaining,60
britain,60
criteria,60
delegation,60
earnings,60
expiring,60
frances,60
fresh,60
hall,60
hamlet,60
holder,60
licensing,60
means,60
option,60
permitting,60
philippe,60
polar,60
quantity,60
registrar,60
remitting,60
reside,60
study,60
sustainable,60
tariffs,60
thornhill,60
animal,59
bob,59
body,59
canadanova,59
claimants,59
dan,59
fred,59
inlet,59
jim,59
king,59
metal,59
miller,59
moosomin,59
postal,59
proceeds,59
received,59
terry,59
timothy,59
transmittal,59
wendy,59
abuse,58
allegiance,58
allowances,58
benjamin,58
brazil,58
corrections,58
edwards,58
jobs,58
michelle,58
nominated,58
nominees,58
published,58
recreational,58
rené,58
reports,58
sea,58
silver,58
transferred,58
uses,58
wednesday,58
currently,57
directly,57
fire,57
gazette,57
instead,57
ken,57
matter,57
paris,57
processed,57
raising,57
sold,57
therein,57
tom,57
westminster,57
2017,56
australia,56
cattle,56
children,56
christine,56
comprising,56
craig,56
duncan,56
games,56
herbicide,56
hope,56
intended,56
inuvik,56
islamic,56
jones,56
monitoring,56
netherlands,56
omnibus,56
ordinary,56
reimbursement,56
ship,56
students,56
translation,56
usa,56
wallace,56
1983,55
additions,55
arctic,55
canadanewfoundland,55
caron,55
caused,55
clarity,55
classes,55
deborah,55
deep,55
dimensions,55
feed,55
improvements,55
languages,55
least,55
legislation,55
longterm,55
lorraine,55
monique,55
native,55
orleans,55
ownership,55
paper,55
party,55
peace,55
present,55
rimouski,55
romania,55
société,55
source,55
stock,55
waterfront,55
align,54
angus,54
based,54
c37,54
certification,54
crime,54
dealing,54
detected,54
formula,54
imports,54
inability,54
janice,54
japan,54
jeffrey,54
leases,54
lethbridge,54
mills,54
neil,54
participation,54
selfgovernment,54
submit,54
waiving,54
worker,54
108,53
adams,53
alterations,53
anniversary,53
belledune,53
bridges,53
cease,53
census,53
citizens,53
contained,53
creenaskapi,53
dues,53
efficiency,53
electricity,53
eliminating,53
fournier,53
habitat,53
identification,53
independent,53
kelly,53
lumber,53
lying,53
malcolm,53
reconciliation,53
reid,53
represent,53
saunders,53
simpson,53
sinclair,53
structure,53
temporarily,53
washington,53
attend,52
circulation,52
consequential,52
easements,52
freight,52
hearing,52
integrity,52
interprovincial,52
luc,52
manufacturers,52
missions,52
month,52
morgan,52
morin,52
murphy,52
offices,52
precedence,52
queen,52
revoke,52
saguenay,52
sahtu,52
samuel,52
screening,52
simon,52
since,52
test,52
yugoslavia,52
1984,51
advance,51
agencies,51
codes,51
communication,51
contracts,51
defining,51
dorothy,51
early,51
entered,51
equity,51
eugene,51
examination,51
gasoline,51
gérard,51
honours,51
innovation,51
melvin,51
policies,51
radiocommunication,51
secretaries,51
sharon,51
tackle,51
telephone,51
travelling,51
vii,51
activity,50
aggregate,50
baker,50
considered,50
employer,50
feet,50
gail,50
gerard,50
gwichin,50
haiti,50
hélène,50
joyce,50
kpmg,50
madam,50
okanese,50
quay,50
saintefoy,50
san,50
softwood,50
taking,50
text,50
verdun,50
20092010,49
capacity,49
carole,49
charlesbourg,49
content,49
copies,49
define,49
flexibility,49
gsthst,49
indirect,49
kerr,49
levels,49
maclean,49
material,49
meetings,49
mexican,49
million,49
navigation,49
obtain,49
ocean,49
premises,49
properties,49
removes,49
sillery,49
variety,49
wear,49
winter,49
writs,49
199596,48
airports,48
balanced,48
bar,48
become,48
colin,48
compulsory,48
cove,48
dale,48
different,48
diversification,48
entitlement,48
flight,48
formation,48
glenn,48
kim,48
kinds,48
limiting,48
locations,48
mclean,48
neb,48
offenders,48
partners,48
quality,48
réjean,48
responsibility,48
restriction,48
revoked,48
safe,48
taken,48
transitional,48
amnesty,47
attending,47
champlain,47
clifford,47
disability,47
dor,47
editorial,47
gauthier,47
harbours,47
imposed,47
inquire,47
kentville,47
late,47
lead,47
maintaining,47
method,47
ppp,47
range,47
rebate,47
residents,47
statement,47
stoney,47
terminal,47
thursday,47
truth,47
waste,47
aylmer,46
corrects,46
decisions,46
france,46
gold,46
holdings,46
jennifer,46
julie,46
lois,46
mitchell,46
network,46
ones,46
potato,46
poultry,46
poundmaker,46
russian,46
saintlambert,46
signature,46
size,46
socialist,46
staffing,46
telecommunication,46
transcanada,46
using,46
alma,45
analysis,45
andor,45
apparel,45
armstrong,45
basic,45
clarence,45
contract,45
corporal,45
correctional,45
efficient,45
estate,45
evans,45
event,45
federative,45
forms,45
franklin,45
guarantee,45
inter,45
jeanpaul,45
kluane,45
letterpost,45
macleod,45
markham,45
marshall,45
mcdonald,45
michèle,45
miramichi,45
montroyal,45
norway,45
overall,45
performance,45
qualify,45
rock,45
roderick,45
senate,45
singh,45
substituting,45
swan,45
transaction,45
twenty,45
1st,44
3048,44
administered,44
alia,44
collect,44
component,44
davis,44
determined,44
dollars,44
ended,44
fixed,44
grains,44
hay,44
landing,44
latter,44
personnel,44
prevent,44
promote,44
recent,44
respectively,44
rica,44
roberts,44
sakimay,44
shared,44
solicitor,44
technologies,44
unable,44
wild,44
115,43
1980,43
bélanger,43
carl,43
charbonneau,43
chemical,43
controls,43
dieppe,43
dutyfree,43
effects,43
equalization,43
excluded,43
fortier,43
fourth,43
growers,43
incorporation,43
introduced,43
israel,43
jacqueline,43
junction,43
leslie,43
modifying,43
morris,43
orléans,43
passport,43
perpetuity,43
qualified,43
recorded,43
regulate,43
repealed,43
rescind,43
selkirk,43
spain,43
strategic,43
typographical,43
unto,43
war,43
andrews,42
boating,42
bryan,42
conferred,42
constitution,42
elaine,42
exemptions,42
fungicide,42
gagnon,42
harrison,42
housekeeping,42
johnston,42
lise,42
macpherson,42
mandate,42
numbers,42
operational,42
periodic,42
phillips,42
prohibit,42
prosperity,42
resource,42
rothesay,42
slave,42
supplied,42
twelve,42
youth,42
arab,41
baie,41
baiecomeau,41
brossard,41
carolyn,41
chrétien,41
coquitlam,41
cross,41
czech,41
declarations,41
deliveries,41
ellen,41
engaged,41
expansion,41
expenditures,41
game,41
giroux,41
gratia,41
interpretation,41
irene,41
ivan,41
kanata,41
leader,41
library,41
listing,41
notices,41
occupation,41
oliver,41
peru,41
ppm,41
requesting,41
satellite,41
star,41
testing,41
absolute,40
allows,40
bear,40
borne,40
chicken,40
costa,40
daily,40
davidson,40
designates,40
disaster,40
effluent,40
enabling,40
exempts,40
fair,40
field,40
germany,40
gray,40
haines,40
jackson,40
jocelyne,40
laurent,40
liard,40
lists,40
mackay,40
major,40
manotick,40
master,40
millennium,40
mine,40
morrison,40
mountain,40
notification,40
pest,40
population,40
survey,40
tabling,40
teslin,40
tonne,40
truck,40
turkey,40
video,40
201415,39
anna,39
assent,39
beverley,39
beyond,39
bilateral,39
blood,39
boundary,39
cable,39
cases,39
confirmation,39
eleven,39
emission,39
fernand,39
fifth,39
formerly,39
grace,39
grading,39
height,39
jurisdiction,39
kennedy,39
kenora,39
kind,39
langley,39
large,39
leasehold,39
leo,39
lesage,39
licensed,39
luxembourg,39
mile,39
open,39
owned,39
owners,39
participating,39
potential,39
practice,39
prospectus,39
reconsideration,39
reconstruction,39
remain,39
remaining,39
repayment,39
roscoe,39
spring,39
subsurface,39
thetford,39
welsh,39
1011,38
20122013,38
advertising,38
around,38
blais,38
bulgaria,38
champagne,38
chan,38
close,38
clsr,38
coal,38
cochrane,38
consideration,38
crops,38
dion,38
doyle,38
drought,38
educational,38
endangered,38
fellowship,38
gérald,38
harmonize,38
headquarters,38
incorporate,38
joe,38
kathryn,38
lévis,38
mandatory,38
meaning,38
moore,38
morden,38
permitted,38
perry,38
pieces,38
preceding,38
previously,38
proposal,38
quotas,38
rendered,38
restraint,38
return,38
rita,38
subsidiaries,38
summit,38
telecom,38
tribunals,38
vernon,38
veterinary,38
1979,37
19981999,37
applicants,37
calculation,37
case,37
ceased,37
conseil,37
containers,37
councillor,37
crossing,37
electric,37
equivalent,37
found,37
greenland,37
gross,37
ground,37
hours,37
lavoie,37
light,37
marilyn,37
ottawaatlantic,37
pearl,37
pelican,37
percentage,37
pickering,37
piece,37
programming,37
protected,37
pulp,37
ratify,37
regard,37
région,37
seeds,37
stations,37
stocks,37
surtax,37
terrace,37
terrorism,37
twaddle,37
valerie,37
woodstock,37
abbotsford,36
clair,36
congress,36
coordinator,36
coproduction,36
counsellor,36
danielle,36
deduction,36
defined,36
desjardins,36
distributed,36
emerson,36
enhanced,36
gibson,36
halibut,36
hectare,36
