phrase,n
AGIR AU NOM DU PREMIER MINISTRE EN CAS ,14
CPAC,14
MC ,14
PREMIÈREMENT ,14
TELUS,14
VOLONTAIRE,14
VOLUNTARY,14
AAL ,13
CPR ,13
DM ,13
ESLT,13
EXPEDITION ,13
GG ,13
GRC ,13
OTAN ,13
RATC,13
UNESCO ,13
WARRANT OF THE GOVERNOR GENERAL ,13
ASIE DU SUD,12
BDC ,12
BR ,12
DEUXIÈMEMENT ,12
ESB,12
GATT ,12
LLC ,12
NAFTA,12
SECONDLY ,12
SOUTH,12
TV ,12
WEST ASIA ,12
CRTC,11
DOLLAR ,11
ÆXV,10
ALLIED FORCE,10
CFCP ,10
COMMENT,10
DOLLARS ,10
FIRSTLY ,10
INTERPOL ,10
LIST,10
MK ,10
MTS ,10
OF MINISTERS TO ACT FOR THE PRIME MINISTER IN,10
OIC ,10
THE EVENT OF HIS BEING UNABLE TO PERFORM THE FUNCTIONS OF HIS OFFICE ,10
TLE ,10
XL ,10
XXI ,10
XXVIII ,10
AECL ,9
ALBERTA ,9
BC ,9
CCME,9
CNP ,9
DORS,9
ÉCOSSE ,9
FIAS,9
GVSDD ,9
HST ,9
ISAF,9
KPMG,9
LTO,9
MANDAT DE LA GOUVERNEURE GÉNÉRALE ,9
MINISTERS ,9
MINISTRES,9
NTS,9
SOR,9
SUPPLÉANTS ,9
TROISIÈMEMENT ,9
XXIV,9
APPOINTMENTS,8
AU GRADE ,8
AVN ,8
CAIS,8
CFJP,8
COUR ,8
CPAC ,8
DNA ,8
EPO ,8
EST ,8
EXPÉDITION,8
IN THE MATTER OF ,8
NOMINATIONS,8
OUEST ,8
PCB ,8
PCSRA,8
RADARSAT,8
RELATIVEMENT ,8
SCHEDULE LEGAL DESCRIPTION ,8
SNRC ,8
THIRDLY ,8
TO THE RANK OF INSPECTOR ,8
UNAMID,8
VIII,8
ÆXP,7
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA PROMOTION ,7
APPOINTMENTS TO THE RANK OF,7
CANDIDATES FOR CHIEF ,7
CANDIDATS AU POSTE DE CHEF ,7
CCME ,7
CCU,7
CCU ,7
CNP,7
FIRSTLY,7
INSPECTOR ,7
LABRADOR ,7
NAFTA ,7
NEUVE,7
ONTARIO ,7
PRC,7
SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT PROMOTION ,7
SKBA ,7
TSA ,7
XI ,7
XV ,7
XX ,7
XXX ,7
ACDI,6
ACTQ,6
AGIR AU,6
ALÉCA,6
ALÉCH,6
AM ,6
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA RETRAITE VOLONTAIRE COLONNE ,6
ARTES,6
AUTO ,6
BAPE,6
BCP ,6
BMP,6
BOUNDARIES,6
BRUNSWICK ,6
CANDIDATES FOR COUNCILLOR ,6
CIDA,6
CJSA,6
CONCESSION ,6
COSEPAC ,6
COSEWIC ,6
CPFTA ,6
CPR,6
CSRN ,6
CTMA ,6
DEC ,6
DES MINISTRES QUI SERONT AUTORISÉS ,6
DL ,6
DND ,6
ÉLECTION ,6
ESB ,6
EXERCER,6
FIFTHLY ,6
FUNCTIONS OF HIS OFFICE ,6
GGS,6
GIC ,6
HUMANITAS ,6
IV SECOND,6
JB ,6
JUS,6
LED,6
LES FONCTIONS DE SA CHARGE ,6
LIST OF MINISTERS TO ACT FOR THE PRIME MINISTER IN THE EVENT OF HIS BEING UNABLE TO PERFORM THE,6
LISTE,6
LTS,6
MINISTER ,6
NAMES ,6
NAV CANADA,6
NOM DU PREMIER MINISTRE EN CAS ,6
NOMINATIONS AU GRADE,6
NOTE EXPLICATIVE ,6
OCDE ,6
OECD ,6
OMERS ,6
OUEST,6
PMG ,6
PRÉSENTATION NUMÉRO ,6
REMEMBER,6
RETURNING OFFICERS ,6
RSA ,6
SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT VOLUNTARY RETIREMENT COLUMN ,6
SIERRA LEONE ,6
SOUVENIR,6
UNICEF,6
ADSL ,5
ALÉCCO,5
ALÉCJ,5
ALÉCP,5
AMT ,5
ANNEXE DÉSIGNATION OFFICIELLE ,5
ANNEXE II ,5
ANNEXE SOMMAIRE DE ,5
ATTENDU QUE,5
BRITANNIQUE ,5
CANADA ,5
CEFTA ,5
CFCP,5
CHFTA ,5
CINQUIÈMEMENT ,5
COUR DU BANC DE LA REINE DU MANITOBA ,5
DD ,5
EACL,5
ÉDOUARD ,5
EXPLANATORY NOTE ,5
FBCL,5
FOURTHLY ,5
IAAF ,5
ÎLE,5
MDN,5
NEB ,5
PRINCE,5
PROCÈS,5
QËÔ,5
QUATRIÈMEMENT ,5
SCHEDULE II ,5
SCHEDULE SUMMARY OF ELECTION ,5
SKBA,5
TQS ,5
ULC,5
ULC ,5
WHEREAS ,5
XXIV ,5
ÂÃ ,4
AATC,4
AECL,4
ALÉCCR,4
AMRC ,4
AND ,4
ANNEXE VIA ,4
AOÛT ,4
APPENDICE ,4
ASPIDO INC,4
AWACS,4
BB ,4
BCP,4
BDO ,4
BENCH FOR SASKATCHEWAN ,4
BENCH OF ALBERTA ,4
BENCH OF MANITOBA ,4
BHP ,4
BPC,4
BZP ,4
CAIS ,4
CANDIDATS AUX POSTES DE CONSEILLER ,4
CARICOM,4
CCOFTA ,4
CCRFTA ,4
CFAP,4
CFKM,4
CFKS,4
CFRS,4
CGQ ,4
CHIPEWYAN INDIAN RESERVE ,4
CINDY KLASSEN ,4
CJFTA ,4
CMR,4
COUR DU BANC DE LA REINE DE LA SASKATCHEWAN ,4
COUR DU BANC DE LA REINE DU NOUVEAU,4
COUR SUPÉRIEURE DE JUSTICE DE ,4
COUR SUPÉRIEURE DU QUÉBEC ,4
COUR SUPRÊME DE LA COLOMBIE,4
COUR SUPRÊME DE LA NOUVELLE,4
COV,4
CPCN GC,4
CS ,4
CSIS,4
DDD,4
DDDG,4
DÉCRET NO ,4
DÉLIMITATIONS ,4
DESCRIPTION OFFICIELLE ,4
DESIGNATIONS ,4
DÉSIGNATIONS COLUMN ,4
DIO,4
DIVISION DE PREMIÈRE INSTANCE ,4
DT ,4
DU CONSEIL PRIVÉ ,4
EACL ,4
EHS,4
EJERE ,4
ELIPS,4
ELNI ,4
ÉNERGIE ,4
EOEP,4
ET ,4
EXPÉDITION ,4
FIFA,4
FIFA ,4
GATT,4
GSTP,4
HAITI ,4
HECTARES,4
HMV ,4
IA ,4
ICO ,4
IPL,4
KPMG LLP ,4
LEGAL DESCRIPTION ,4
LNPA ,4
MANDAT DU GOUVERNEUR GÉNÉRAL ,4
MARPOL ,4
MBS ,4
MDPV,4
MEN,4
MINUSTAH,4
MINUTE,4
MKA,4
NATIONAL ENERGY BOARD ,4
OC ,4
OF THE PRIVY COUNCIL ,4
OFFICE NATIONAL DE ,4
OFFICER ORDER,4
OID,4
PC ,4
PCSRA ,4
PID ,4
PIN ,4
PROVINCE ,4
PROVINCE DE QUÉBEC ,4
PROVINCE OF QUEBEC ,4
PROVINCIAL EMERGENCIES FINANCIAL ASSISTANCE ORDER NO,4
RCM ,4
REMEMBER ,4
RÉSERVE INDIENNE ,4
RÉSERVE INDIENNE CHIPEWYAN ,4
RÉSERVE INDIENNE DE THEBATHI NO ,4
RIDEAU FRONT,4
RSB ,4
SAR ,4
SAVE AND EXCEPT ,4
SCHEDULE,4
SDL ,4
SPRSM ,4
SRAS,4
SUPERIOR COURT OF QUEBEC ,4
SUPREME COURT OF BRITISH COLUMBIA ,4
SUPREME COURT OF NOVA SCOTIA ,4
TBFWE,4
TFMPP,4
THEBATHI INDIAN RESERVE NO,4
TRIAL DIVISION ,4
TSCO ,4
TVH ,4
ÛJÒ,4
UNE SITUATION DE CRISE PROVINCIALE DÉCLARATION ,4
UNIFIED PROTECTOR ,4
US ,4
VERBAL,4
VIH ,4
VOC,4
WOMEN,4
WRC,4
XII ,4
XXIII,4
XXIX ,4
XXV ,4
YEARS ,4
AAL,3
ÄDDDDD,3
AIDS,3
ALBERTA,3
ALÉCI ,3
ALÉCPA,3
ALÉCRC,3
AMC ,3
AMGI,3
AMT,3
ANNEXE COUR DU BANC DE LA REINE DE ,3
ANNEXE LOI,3
APBW ,3
ARBITRAGE ,3
BEFORE ,3
BENCH OF MANITOBA,3
BENCH OF NEW BRUNSWICK,3
BXI ,3
BŽX,3
CBC ,3
CEAA ,3
CENT,3
CENT ,3
CHFTA,3
CHUM,3
CHUM ,3
CIFTA ,3
CKFTA ,3
CLEC,3
COMMENCÉ LE ,3
CONTENANT,3
CORMIER,3
COUNCIL RETIREMENT DATE ,3
COUR DE JUSTICE DU NUNAVUT ,3
CPAFTA ,3
DDDDDDD,3
DÉSIGNATIONS ,3
DESIGNATIONS TERMINATED ,3
DEVANT ,3
DIO ,3
DIVISION DE PREMIÈRE INSTANCE DE LA COUR SUPRÊME DE TERRE,3
DIX,3
DSL ,3
ELIZABETH II ,3
ÈÞÈ,3
FAMILY DIVISION ,3
GATS,3
HEALY,3
HEALY ,3
HIV ,3
HWSQH,3
HWSQH ,3
IAAF,3
IBRD,3
IL EST ORDONNÉ QUE,3
IT IS ORDERED THAT,3
JANVIER ,3
LFR,3
LNPA,3
LSPFL,3
LSPFL ,3
MAINTENANT DANS LA VILLE ,3
MIGA,3
MONTH ,3
MS ,3
MV ,3
NEPEAN,3
NOMS	 POWERS DESIGNATED ,3
NOUVELLES DÉSIGNATIONS SUBMISSION NUMBER ,3
OID ,3
OMÓ,3
ØØØ,3
ORDER AO,3
ORDER IN COUNCIL ,3
ORDONNANCE AO,3
OTA ,3
OTTAWA,3
POWERS DESIGNATED ,3
PRC ,3
PREMIÈREMENT,3
PROMOTION ,3
PROVINCE DE LA NOUVELLE,3
PROVINCE OF NOVA SCOTIA ,3
PROVINCIAL,3
QË ,3
REGINA ,3
RRC,3
RRC ,3
SARS,3
SB ,3
SCHEDULE COURT OF QUEEN,3
SCHEDULE VIA ,3
SCRS,3
SECONDLY,3
SIDA,3
SMRBC ,3
SOUVENIR ,3
SUDAN ,3
TFF ,3
TO HER EXCELLENCY THE GOVERNOR GENERAL IN COUNCIL,3
TRIAL DIVISION OF THE SUPREME COURT OF NEWFOUNDLAND AND LABRADOR ,3
TSA,3
UN MILLION DEUX CENT TREIZE MILLE SIX CENT QUATRE,3
UNE SUPERFICIE APPROXIMATIVE DE ,3
VIAPAQ ,3
VIH,3
VINGT,3
WONG,3
ŽJÚ,3
ŽXP,3
ŽXV,3
AA ,2
AÅ ,2
AB ,2
ACEE ,2
ACM,2
ACSTA,2
ACTI ,2
AÐA,2
ÄDDA,2
ADSL,2
ÆÃ ,2
ÆÇÅ,2
ÆXN,2
AG ,2
ÁKÇ,2
ÃM ,2
AMIS,2
AMRC,2
ANCIENNEMENT DANS LA VILLE DE,2
AND ENDED ON JANUARY ,2
ANNEXE DÉFINITIONS ,2
ANNEXE DESCRIPTION OFFICIELLE ,2
ANNEXE LISTE DE CANDIDATS ,2
ANNEXE LOI SUR LA GENDARMERIE,2
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA NOMINATION COLONNE ,2
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA RENVOI ,2
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA RETRAITE VOLONTAIRE ,2
ANS,2
ANS ,2
API ,2
APPEL DE ,2
APPEL DU MANITOBA ,2
APPEL DU QUÉBEC ,2
APPOINTMENT ,2
ARCTIC EXPEDITION ,2
ARCTIC WATERS POLLUTION PREVENTION ACT ,2
ARCTIC WATERS POLLUTION PREVENTION ACT LOI SUR LA PRÉVENTION DE LA POLLUTION DES EAUX ARCTIQUES DESIGNATIONS TO BE REVOKED ,2
ARCTIC WATERS POLLUTION PREVENTION ACT LOI SUR LA PRÉVENTION DE LA POLLUTION DES EAUX ARCTIQUES NEW DESIGNATIONS ,2
ARMISTICE ,2
ARTES ,2
ARTV,2
ARTV INC,2
ASE,2
ATA ,2
ATCO ,2
AWACS ,2
BC LNG ,2
BCR ,2
BIRD,2
BMG ,2
BRUNSWICK,2
BSE,2
BT ,2
BTFW,2
BWBA,2
BWBA ,2
BXI,2
CAD,2
CAMS ,2
CAN,2
CANADIAN MOUNTED POLICE ACT PROMOTION ,2
CANDIDATS AUX POSTES DE CONSEILLERS ,2
CANDU ,2
CANTON,2
CATSA ,2
CBC,2
CC ,2
CCFTA ,2
CE CXL ,2
CEAA,2
CEDEAO,2
CEG JEM ,2
CENTS ,2
CFB ,2
CFTF,2
CFWH,2
CFWH ,2
CGI ,2
CHEONG,2
CLASSEN,2
CLNA,2
CMA,2
CNRC ,2
COBURN,2
CONDITIONS ,2
COP,2
COUR DU BANC DE LA REINE DU MANITOBA,2
COURT OF APPEAL FOR MANITOBA ,2
COURT OF APPEAL OF QUEBEC ,2
CPCN,2
CQ ,2
CRC ,2
CRF,2
CSA ,2
CVC,2
CXL ,2
CYB ,2
DANIEL SULLIVAN ,2
DAVID SCHMIDT PANKRATZ ,2
DAVIS,2
DDDD,2
DDDDD,2
DDDDDDDDDDDDDDD,2
DDDDDG,2
DDDDG,2
DE CRISE PROVINCIALE ,2
DIRECTEURS DE SCRUTIN ,2
DIRECTEURS DU SCRUTIN ,2
DIVISION DE LA FAMILLE,2
DIVISION DE LA FAMILLE ,2
DMX ,2
DOLLARS ,2
DUBÉ,2
DW ,2
ÈAÛ,2
EC ,2
ECOWAS,2
ED ,2
EFTA ,2
ELDIB,2
ELT,2
EMERGENCIES FINANCIAL ASSISTANCE ORDER NO,2
EPC,2
EPC ,2
EPP,2
ERAR,2
ESA,2
ESLC ,2
EST,2
EST TERMINÉE LE ,2
ET SE TERMINANT LE ,2
EVANS,2
EXCLUSION ,2
EXPÉDITION DANS ,2
FAO,2
FFT,2
FIAS ,2
FIVE ,2
FPSO,2
FPSO ,2
FRASER,2
FXN,2
FXP,2
GED ,2
GÉOGRAPHIQUE DE NEPEAN,2
GLEETON,2
GLOVER,2
GOL ,2
GPT ,2
GRADE SEC GOURD HUMIDE ,2
GRADE STRAIGHT TOUGH DAMP ,2
GROUP ,2
GSX ,2
HAÏTI,2
HAÏTI ,2
HEMEON,2
HENQUET,2
HIT ,2
HIV,2
HMS ,2
HOCKEY FÉMININ,2
HOCKEY FÉMININ ,2
HOCKEY MASCULIN,2
HOCKEY MASCULIN ,2
HOUDE,2
HTGKAHRZYH,2
HUMANITAS,2
ÏÁ ,2
ICAC LLC ,2
ICAO ,2
ICIC,2
IDT ,2
INDAS ,2
INDIAN RESERVE NO,2
IPFPC,2
IR ,2
ISAF ,2
ISH ,2
ITU,2
JKC ,2
JLG,2
JLG ,2
JUILLET ,2
KENEFICK,2
KING,2
KM LNG ,2
KOSANOVICH,2
KÛJ,2
LA LIVRAISON POUR LA PÉRIODE DE MISE EN COMMUN COMMENÇANT LE ,2
LECLERC,2
LIBYA,2
LIBYE ,2
LMP,2
LUNA,2
LXII,2
LXXXIII ,2
LXXXIX,2
LXXXV,2
MACDONALD,2
MACKENZIE,2
MANDAT ,2
MANDATE ,2
MARCOTTE,2
MARINE,2
MCGARVIE,2
MCLEOD,2
MDN ,2
MINUAD,2
MINUS,2
MINUTL,2
MM ,2
MÓÓ,2
MRC,2
MUAS,2
MUNICIPALITÉS DE ,2
MURRAY,2
NAIR,2
NAISBY,2
NAMES POWERS,2
NAV ,2
NAVY ,2
NEDEHE TÚE ,2
NEDEHE TÚE INDIAN RESERVE NO,2
NEUF ,2
NINE ,2
NISA ,2
NO ,2
NOMINATION ,2
NOMINATIONS AU GRADE ,2
NOW IN THE CITY OF OTTAWA,2
NPS ,2
NRC ,2
NSP ,2
NÛ ,2
NUIT ,2
NUNAVUT ,2
NUNAVUT COURT OF JUSTICE ,2
OACI ,2
OFFICIER RANG ,2
OIE,2
ØLŠ,2
OMPI ,2
ONE MILLION THREE HUNDRED FIFTEEN THOUSAND TWO HUNDRED AND THREE ,2
ONE MILLION TWO HUNDRED THIRTEEN THOUSAND SIX HUNDRED NINETY,2
ONF,2
ONTARIO,2
ONTREA ,2
ONUCI,2
ÓÕ ,2
OSPREY ,2
OTA,2
OTTAWA FRONT,2
PAQUET,2
PAR TONNE,2
PER TONNE,2
PÉRIODE ,2
PF ,2
PGS ,2
PICCO,2
PIN,2
PMC ,2
PÓ ,2
POLICE ACT PROMOTION ,2
PROVINCE DE ,2
PROVINCE DE LA SASKATCHEWAN ,2
PROVINCE DE TERRE,2
PROVINCE DU NOUVEAU,2
PROVINCE OF NEW BRUNSWICK ,2
PROVINCE OF NEWFOUNDLAND AND LABRADOR ,2
PROVINCE OF PRINCE EDWARD ISLAND ,2
PROVINCE OF SASKATCHEWAN ,2
PRRA,2
RAL ,2
RCB ,2
RINAS,2
RL ,2
RNC ,2
RODRIGUE,2
ROSE,2
ROYALE DU CANADA PROMOTION ,2
RSM ,2
RVÅ,2
SASKATCHEWAN ,2
SC ,2
SCHEDULE FIRSTLY ,2
SCHEDULE INTERPRETATION ,2
SCHEDULE LEGAL DESCRIPTION PART OF LOT ,2
SCHEDULE ROSTER OF CANDIDATES ,2
SCHEDULE ROYAL,2
SCHEDULE ROYAL CANADIAN MOUNTED,2
SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT APPOINTMENT COLUMN ,2
SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT DISCHARGE ,2
SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT VOLUNTARY RETIREMENT ,2
SD ,2
SIERRA LEONE,2
SIGTAS ,2
SIR JOHN ,2
SIRIUS ,2
SIXIÈMEMENT ,2
SIXTHLY ,2
SKG ,2
SNL ,2
SON EXCELLENCE LA GOUVERNEURE GÉNÉRALE EN CONSEIL,2
SOUDAN ,2
SOUVENIR ,2
SPACEPOL ,2
STEWART,2
SUPERIOR COURT OF JUSTICE IN AND FOR ONTARIO ,2
SUR LA GENDARMERIE ROYALE DU CANADA PROMOTION ,2
TB ,2
TC ,2
TDEWE,2
THD,2
THEREFORE,2
THERRIEN,2
THP ,2
TLE,2
TLL ,2
TO ,2
TPG ,2
TRIM ,2
TS ,2
TU ,2
TUC,2
ÚÃ ,2
UAW ,2
ÛJÕ,2
ÛK ,2
UN ,2
UN MILLION TROIS CENT QUINZE MILLE DEUX CENT TROIS ,2
UNE SITUATION,2
UNEP,2
UNMIS,2
UNMIT,2
UNOCI,2
ÚÚM,2
ÚVŸ,2
ÚZÝ,2
VÆÅ,2
VF ,2
VIP,2
VUP ,2
WCC LNG ,2
WIM,2
WIPO ,2
WLTO ,2
WMD ,2
XIX,2
XIX ,2
XLIX ,2
XLVIII,2
XM ,2
XVIII ,2
XXVI ,2
XXX,2
YUKON ,2
ZÚÚ,2
AÃ ,1
ÂAÆ,1
ÂÁÃJ,1
ÂÃC,1
ÃAÐAÒ,1
AÃDDE,1
AÄDDYUD,1
ÄÃÐÑ,1
ÅÄDP,1
ÄÃË,1
ÁÃËÀ,1
ÁÆÅ,1
ÅÆÅ,1
ÅÅG,1
ÂÃIŠ,1
ÂÂK,1
ÅÄK,1
ÂÄÖ,1
ÄÃØ,1
AÃP,1
AATC ,1
AÄU,1
ÂÃVVI,1
ABC,1
ABC ,1
ABROGER SUBMISSION NUMBER ,1
ÅÇÅ,1
ACCORD SUR ,1
ACCORDS DE FINANCEMENT ,1
ACCORDS DE PRÊT CONCLUS AU TITRE DU PROGRAMME CANADIEN DE PRÊTS AUX ÉTUDIANTS ,1
ACCOUNTABILITY AND ANNUAL REPORT ,1
ACEE,1
ACH ,1
ÅCNA,1
ÁÇØ,1
ACOMPTES ,1
AÐ ,1
ÂÐA,1
ÅDÃ,1
ÂDDD,1
ÄDDDDDD,1
ÄDDDDDDDDDDDDDEÄDDDM,1
ÄDDDDDDDDDDDDDIÐ,1
ÄDDDDDDDDDDM,1
ÄDDDDDDDDJ,1
ÄDDDDDDDDÞ,1
ÄDDDDDF,1
ÃDDDE,1
ÄDDDW,1
ÄDDG,1
ÄDDHO,1
ÄDDIC,1
ADMINISTRATION ,1
ÄDMW,1
ADN,1
ÁÐN,1
AÐO ,1
AÐO ÕÒ,1
ADPIC,1
ÁË ,1
ÀÈÁ,1
ÃEÅ,1
ÆÅC,1
ÆÅC ,1
ÁËÆ,1
ÂÈAÈ,1
ÆÅE,1
ÆÆÅA,1
ÆÆÇ,1
ÆÅEW,1
ÆÆÝ,1
ÆÆÞ,1
ÆÁI,1
ÆÅSÅ,1
ÆCÍ,1
ÆÇLS,1
ÆÇÓ,1
ÆÐR,1
ÆÐSA,1
ÃËÈ,1
ÆÈT,1
ÅEH,1
AELÉ,1
AELÉ ,1
ÆMÖ,1
ÆÓ ØL,1
ÆØØ,1
ÅÈSÒÂ,1
ÆUÑ,1
ÆÚV,1
ÆXOÞ,1
ÆY ,1
ÆŸÆ,1
ÆZÂ,1
ÅFÁ,1
ÅFÅ,1
ÅFÅFÇ,1
ÂFÛ,1
ÅGÃ ,1
AGCS,1
ÃGDÏ,1
ÄGEÑ,1
AGIR AU NOM DU PREMIER MINISTRE EN SON ABSENCE OU ,1
ÅHS,1
AIDE,1
AIDE FINANCIÈREÀ ,1
ÄÎÑ,1
ÄÎÑ ,1
ÂIÒ,1
ÃIW,1
ÁIÝ ,1
ÃJX,1
ÃKI,1
ÃKØ,1
ÄKT,1
ALÉCC,1
ALÉCC ,1
ALÉCH ,1
ALÉCP ,1
ALENA,1
ALI,1
ÂLI,1
ALINÉA ,1
ALLAN,1
ALLIED,1
ALS,1
ÂLS,1
ALV,1
ÂLW,1
ÂMÉ,1
ANCIENNEMENT DANS LA VILLE DE GLOUCESTER,1
AND ENDING ON JANUARY ,1
AND ENDING ON JULY ,1
AND WILL END ON JULY ,1
ÃNÈ,1
ÁNF,1
ANNEX CANADIAN FORCES GRIEVANCE PROCESS EX GRATIA PAYMENTS ORDER ,1
ANNEXE,1
ANNEXE ANNEXE ,1
ANNEXE CANDIDATS AUX POSTES DE CONSEILLER ,1
ANNEXE COMMISSAIRES AUX SERMENTS,1
ANNEXE COMPTE DE MISE EN COMMUN ,1
ANNEXE CONDITION ,1
ANNEXE CONDITIONS ET MODALITÉS POUVANT AVOIR UNE INCIDENCE FINANCIÈRE POUR SA MAJESTÉ DU CHEF DU CANADA ,1
ANNEXE COUR ,1
ANNEXE DÉCRET RELATIF AU VERSEMENT DE PAIEMENTS ,1
ANNEXE DESCRIPTION CADASTRALE ,1
ANNEXE DESCRIPTION LÉGALE PARTIE DU LOT ,1
ANNEXE DÉSIGNATION OFFICIELLE PARTIE DES LOTS ,1
ANNEXE DÉSIGNATION OFFICIELLE PARTIE DU LOT ,1
ANNEXE DÉSIGNATIONS ,1
ANNEXE LOI SUR,1
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA DÉMISSION ,1
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA NOMINATION OFFICIER ,1
ANNEXE MINISTÈRES ,1
ANNEXE MODALITÉS RESPECTANT LA DISPOSITION DES CERTAINS BIENS ET LE RÈGLEMENT DES DETTES ET OBLIGATIONS DE LA FONDATION CANADIENNE DES BOURSES ,1
ANNEXE NAME,1
ANNEXE ORGE LISTE DES GRADES TRANSFÉRÉS DE LA PÉRIODE DE MISE EN COMMUN QUI ,1
ANNEXE ORGE PAIEMENTS ,1
ANNEXE POUR LES GRADES SAUF LE GRADE DE BASE ORGE ,1
ANNEXE POUR LES GRADES SAUF LE GRADE DE BASE ORGE DÉSIGNÉE ACOMPTES ,1
ANNEXE PROMOTION DES OFFICIERS ,1
ANNEXE PROVINCE DE LA COLOMBIE,1
ANNEXE PROVINCE DU MANITOBA ,1
ANNEXE RÉSERVE INDIENNE ,1
ANNEXE SOMMAIRE,1
ÁNÕ,1
AÒ ,1
AØ ,1
ÅÔ ,1
AØA,1
AØB,1
AÓÇ,1
AØC,1
ÃØC ,1
ÂØHÊ,1
ÂØJ,1
ÂØKÖÂM,1
AØL ,1
ÂØM,1
ÂØNÂ,1
AÒÒ,1
ÀÖÒ,1
ÂØR,1
ÁØŠ,1
ÃÓÚÛWÛ,1
ÂØUX,1
ÄOŸ,1
ÂPÁ,1
ÂPÂ,1
ÂPÂÃ,1
ÂPÂÚÞÚW,1
APBW,1
ÄPÊ,1
APEC,1
ÂPÖ,1
ÂPØ,1
ÂPÓ ,1
APPEL DE LA COUR SUPRÊME DE TERRE,1
APPEL DE LA NOUVELLE,1
APPEL DE LA SASKATCHEWAN ,1
APPEL FÉDÉRALE ET DE LA COUR,1
APPENDICE PREMIÈREMENT ,1
APPOINTMENTS ,1
APPOINTMENTS TO THE RANK OF INSPECTOR ,1
APPROBATION DU PLAN ,1
APPROXIMATE AREA OF ,1
ÂQŽ,1
ÁR ,1
ARBITRATION ,1
ARBITRATION PROCEDURES ,1
